question,document
"I just found this course late — can I still join now, or is it too late to start?",74eb249bbf
"If I join after the course has already started, am I still able to get a certificate?",74eb249bbf
What do I need to do to qualify for a certificate if I join the course late?,74eb249bbf
"Is it okay to start the course after it begins, and does that affect the final project submission?",74eb249bbf
"When I join late, do I only need to submit the project before submissions close to get certified?",74eb249bbf
"I signed up for the LLM Zoomcamp, but I still haven’t gotten any confirmation email — is that normal?",977bf7786c
Do I actually need to wait for a registration confirmation before I can start the course and submit homework?,977bf7786c
"If I never received an acceptance email, does that mean I’m not in the LLM Zoomcamp yet?",977bf7786c
"Is registration required to take part in the course, or can I just begin learning and turning in homework while it’s open?",977bf7786c
What’s the point of registering for the LLM Zoomcamp if there isn’t a confirmation or attendee list?,977bf7786c
How do I join the Office Hours or live workshop stream if I’m a student?,489dd1c9d9
Where can I find the live video link for a workshop or office hours session?,489dd1c9d9
"Do students get the Zoom URL for office hours, or is it shared somewhere else?",489dd1c9d9
What’s the best way to ask questions during a live session if I’m watching on YouTube?,489dd1c9d9
"Should I post my questions in the chat during live office hours, or is there a better place?",489dd1c9d9
What’s the best way to begin the course if I’m joining late?,04919992b3
"Where do I find the docs, repo, and deadlines for LLM Zoomcamp?",04919992b3
How are we supposed to study each week in this course?,04919992b3
"Do I need to start on a fixed date, or can I just jump in anytime?",04919992b3
"Is the homework basically the same as the lesson work, or is it different?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name right away?,c2903069a0
Why do I show up with a random name on the leaderboard instead of my real one?,c2903069a0
Where can I check what display name the course is using for me?,c2903069a0
Can I change the nickname that appears publicly on the leaderboard?,c2903069a0
What should I put in the profile fields if I want the correct name on my certificate?,c2903069a0
Can I take the course on my own pace and still get a certificate at the end?,69d122f12e
"Do you give certificates for the self-paced version, or only for the live cohort?",69d122f12e
"If I finish all the lessons later by myself, will I still be eligible for the certificate?",69d122f12e
Why isn't there a certificate option for self-paced students?,69d122f12e
Do I have to be in the running cohort to do the peer reviews needed for the certificate?,69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, or is the Capstone project enough?",9f689c185f
"Is homework required to get the certificate in this course, or can I just complete the Capstone?",9f689c185f
"If I missed an early homework assignment, does that affect my chance to receive the certificate?",9f689c185f
What actually counts for the certificate here — homework or the Capstone project?,9f689c185f
"Are homework points mandatory for certification, or are they only for the leaderboard?",9f689c185f
Why does the homework content keep changing before I can submit it?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
