question,answer_llm,answer_orig,document
"I just found this course late — can I still join now, or is it too late to start?","Yes, you can still join now. You can start learning anytime.

If you want a certificate, make sure to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join after the course has already started, am I still able to get a certificate?","Yes, but only if you complete the course with the live cohort and submit your project while submissions are still being accepted. You can’t get a certificate in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to qualify for a certificate if I join the course late?,"To qualify for a certificate after joining late, you need to:

- submit your project while the course is still accepting submissions
- finish the course with the live cohort
- peer-review 3 capstones after submitting your project

Homework is not required for the certificate, but you must pass the capstone project.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Is it okay to start the course after it begins, and does that affect the final project submission?","Yes, you can start whenever you want, even after the course has begun.

For the final project, the key point is that the capstone submission happens within the course deadlines and peer-review window. If you miss the first submission window, you can still catch up for the attempt #2 window.

So starting late does not automatically prevent you from submitting the final project, but you still need to submit during the available course windows and complete peer review of 3 peers to get the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"When I join late, do I only need to submit the project before submissions close to get certified?","No. To get certified, you need to submit your project while submissions are still open, and you also need to participate in the peer-review of three peers in your cohort. Homework is not mandatory.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for the LLM Zoomcamp, but I still haven’t gotten any confirmation email — is that normal?","You don’t need a confirmation email — you’re accepted. Registration is just to gauge interest, and you can start learning and submitting homework while the form is open without being checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need to wait for a registration confirmation before I can start the course and submit homework?,"No. You don’t need to wait for a registration confirmation. You’re accepted, and you can start the course and submit homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I never received an acceptance email, does that mean I’m not in the LLM Zoomcamp yet?",I don't know.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is registration required to take part in the course, or can I just begin learning and turning in homework while it’s open?","You don't need to register. You can just start learning and submit homework while the form is open, and registration is only to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registering for the LLM Zoomcamp if there isn’t a confirmation or attendee list?,"The point of registering is just to gauge interest before the start date. There’s no confirmation email or attendee list because you’re effectively accepted already, and registration is not checked against any registered list.

You can also start learning and submitting homework while the form is open without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop stream if I’m a student?,"As a student, you join via **YouTube Live** rather than Zoom. The **Zoom link is only for instructors/presenters/TAs**.

What to do:
- Watch the stream on the **DataTalksClub YouTube Channel**
- Use **Slido** for questions while live
- Check the **announcements channel on Telegram or Slack** for the video URL before the session starts
- Don’t post questions in chat, since they may be missed

If you want, I can also tell you where to find the announcements link.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where can I find the live video link for a workshop or office hours session?,The live video link is posted in the **announcements channel on Telegram and Slack** before the session begins. You can also watch it live on the **DataTalksClub YouTube channel**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Do students get the Zoom URL for office hours, or is it shared somewhere else?","The Zoom link is only published to instructors/presenters/TAs, not to students.

Students join via YouTube Live instead, and the live URL is posted in the announcements channel on Telegram and Slack before the session begins.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to ask questions during a live session if I’m watching on YouTube?,"If you’re watching on YouTube, the best way is to submit your questions through **Slido** — the link is pinned in the chat when the session is live.

It’s better **not to post questions in the YouTube chat**, since they may be missed if the room is very active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I post my questions in the chat during live office hours, or is there a better place?","Don’t post questions in the chat during live office hours, because they may be missed if the room is very active. Use **Slido** instead — the link is pinned in the chat when the session is live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to begin the course if I’m joining late?,"You can start whenever you want. If you’re joining late, the best approach is to:

1. Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repo](https://github.com/DataTalksClub/llm-zoomcamp).
2. Watch the lesson videos.
3. Follow the lesson notebooks/code.
4. Read the homework instructions on GitHub.
5. Submit the homework through the course platform before the deadline.

The course materials are available, so you can catch up at your own pace.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
